"connote__connote_service","nama_produk","group_produk","kategori"
PE-PE,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
KARGO POS,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
PKH (883551),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
"864832",TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
KBM,LAYANAN DISTRIBUSI BARANG DN (ENTERPRISE),TIDAK DIKETAHUI,DALAM NEGERI
PKH(899442),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
SKH_SPT,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
N,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
PJE,POS JUMBO EKONOMI,POS JUMBO,DALAM NEGERI
PKJ,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
ACD,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
PKH (899445),TARIF REGULER DENGAN NEGOISASI,TIDAK DIKETAHUI,DALAM NEGERI
LCLE,TIDAK DIKETAHUI,TIDAK DIKETAHUI,LN OUTGOING
FFE,FRIGHT FORWARDING,TIDAK DIKETAHUI,DALAM NEGERI
PKH (899443),TARIF REGULER DENGAN NEGOISASI,TIDAK DIKETAHUI,DALAM NEGERI
"883196",TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
PKH (892624),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
Q9PLUS,TIDAK DIKETAHUI,POS SAMEDAY,DALAM NEGERI
Q13,TIDAK DIKETAHUI,TIDAK DIKETAHUI,LN OUTGOING
POS KARGO BARANG,TIDAK DIKETAHUI,TIDAK DIKETAHUI,DALAM NEGERI
DG,DANGEROUS GOODS,PAKET VG_DG,DALAM NEGERI
Q9,POS SAMEDAY,POS SAMEDAY,DALAM NEGERI
PKH (892619),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
"010",RLN,E_PACKET,LN OUTGOING
PKH-PKH (828217),TARIF REGULER DENGAN NEGOISASI,POS REGULER,DALAM NEGERI
PKP,,,DALAM NEGERI
.,,,DALAM NEGERI
PBJ,,,DALAM NEGERI
OKH,,,DALAM NEGERI
PKN,,,DALAM NEGERI
